ID,기능,순번,테스트 항목,테스트 데이터,시험일자,시험결과,Y/N,결함/이상 내용
IT-PDF-01,문서 업로드 · 텍스트 추출 연동,1,업로드 1건 후 문서·추출 테이블에 함께 기록되는지,PDF 1건,2026. 8. 5.,documents 와 extracted_texts 에 각각 1행 추가,Y,documents 14 / extracted_texts 14 로 건수 일치 확인
IT-PDF-01,문서 업로드 · 텍스트 추출 연동,2,문서 종류별 추출 방식이 올바르게 저장되는지,PDF · DOCX · HWPX · 이미지,2026. 8. 5.,TEXT_LAYER / HYBRID / DOCX / HWPX / OCR 중 해당 값 저장,Y,5종 모두 확인 (ERD.png=OCR · 표준약관=HYBRID · 공고문=HWPX)
IT-PDF-01,문서 업로드 · 텍스트 추출 연동,3,페이지 수 초과 시 데이터가 생성되지 않는지,76페이지 PDF,2026. 8. 5.,오류 응답 후 documents 행이 추가되지 않음,,DB 행 미생성 여부 미확인 - 화면 안내만 확인
IT-PDF-01,문서 업로드 · 텍스트 추출 연동,4,업로드 파일이 지정 폴더에 저장되는지,PDF 1건,2026. 8. 5.,uploads 폴더에 임의 이름(UUID)으로 저장. 원본 파일명 그대로 저장되지 않음,,uploads 폴더 직접 확인 필요
IT-PDF-02,AI 분석 연동,1,분석 실행 결과가 분석 테이블에 기록되는지,요약 + 분류 실행,2026. 8. 5.,analyses 에 2행 추가,Y,analyses 10행 = 분석 완료 5건 x 2종
IT-PDF-02,AI 분석 연동,2,분석 메타 정보가 함께 기록되는지,-,2026. 8. 5.,provider · model_name · tokens_in · tokens_out · latency_ms 값 존재,Y,"요약 2791/125 토큰 3.2초, 분류 2842/38 토큰 1.6초 기록 확인"
IT-PDF-02,AI 분석 연동,3,재분석 시 기존 이력이 유지되는지,동일 문서 재분석,2026. 8. 5.,기존 행이 덮어써지지 않고 새 행이 추가됨,,미검증
IT-PDF-02,AI 분석 연동,4,분석 결과가 목록 조회에 반영되는지,분석 후 목록 조회,2026. 8. 5.,카테고리와 요약 미리보기에 최신 분석 결과 표시,Y,상세 패널에서 분석 실행 시 목록 행이 즉시 갱신됨
IT-PDF-02,AI 분석 연동,5,실제 AI 연동 시 제공자·모델이 기록되는지,USE_FAKE_AI=false,2026. 8. 5.,"provider=openai · model_name=gpt-4o-mini 기록, 요약이 실제 문장으로 생성",Y,키 길이 164 / USE_FAKE_AI=False / model=gpt-4o-mini-2024-07-18
IT-PDF-03,문서 조회 · 검색 연동,1,페이징 계산이 정확한지,문서 21건 · size=20,2026. 8. 5.,1페이지 20건 · 2페이지 1건 · total_pages=2,Y,동일 파일 14건 추가 업로드로 21건 구성해 확인
IT-PDF-03,문서 조회 · 검색 연동,2,본문 검색에서 공백 표기 차이가 흡수되는지,검색어 '제안자' 와 '제 안 자',2026. 8. 5.,두 검색의 결과 건수가 동일,Y,양쪽 모두 10건으로 일치
IT-PDF-03,문서 조회 · 검색 연동,3,일치하지 않는 검색어가 걸러지는지,검색어 'zzzz없는단어',2026. 8. 5.,"total=0, 목록 비어 있음",Y,total=0 확인
IT-PDF-03,문서 조회 · 검색 연동,4,공백만 입력한 경우 조건이 적용되지 않는지,검색어 '   ',2026. 8. 5.,전체 건수와 동일 (필터 미적용),Y,전체 18건과 동일하게 반환
IT-PDF-03,문서 조회 · 검색 연동,5,카테고리 필터가 분석 결과를 기준으로 동작하는지,category=보고서,2026. 8. 5.,해당 카테고리로 분류된 문서만 반환,Y,보고서 2건만 반환
IT-PDF-03,문서 조회 · 검색 연동,6,분석 전 문서의 값이 비어 있는지,미분석 문서,2026. 8. 5.,category 와 summary_preview 가 비어 있음(null),Y,미분석 문서의 카테고리 열이 비어 있음
IT-PDF-04,요약 다운로드 연동,1,요약 · 카테고리 · 분류 근거가 모두 포함되는지,분석 완료 문서,2026. 8. 5.,세 항목이 파일에 포함되고 원문은 포함되지 않음,Y,다운로드 파일에서 세 항목 확인 · 원문 미포함
IT-PDF-04,요약 다운로드 연동,2,파일 내용의 줄 구분이 유지되는지,-,2026. 8. 5.,제목 · 카테고리 · 요약이 각각 줄로 나뉘어 저장,Y,구분선과 항목별 줄바꿈 유지 확인
IT-PDF-04,요약 다운로드 연동,3,한글 파일명이 유지되는지,한글 파일명 문서,2026. 8. 5.,저장된 파일명이 깨지지 않음,Y,RFC 5987 인코딩으로 한글 파일명 정상 표시
IT-PDF-04,요약 다운로드 연동,4,재분석 후 최신 결과가 반영되는지,재분석 후 다운로드,2026. 8. 5.,가장 최근 분석의 요약이 파일에 반영,,미검증
IT-PDF-04,요약 다운로드 연동,5,분석하지 않은 문서의 다운로드가 차단되는지,분석 전 문서,2026. 8. 5.,오류 응답 (409) 반환,,미검증
IT-PDF-04,요약 다운로드 연동,6,잘못된 형식 요청이 차단되는지,format=pdf,2026. 8. 5.,오류 응답 (422) 반환,Y,422 확인 - format 파라미터 alias 적용 후에도 계약 유지
IT-PDF-04,요약 다운로드 연동,7,존재하지 않는 문서의 다운로드가 차단되는지,id=999999,2026. 8. 5.,오류 응답 (404) 반환,Y,404 DOCUMENT_NOT_FOUND 확인
IT-PDF-05,문서 삭제 연동,1,연관 데이터가 함께 삭제되는지,분석 완료 문서 1건,2026. 8. 5.,documents · extracted_texts · analyses 행이 모두 감소,Y,documents 14 / extracted_texts 14 / analyses 10 으로 cascade 확인
IT-PDF-05,문서 삭제 연동,2,업로드된 원본 파일이 제거되는지,-,2026. 8. 5.,uploads 폴더에서 해당 파일이 사라짐,,uploads 폴더 직접 확인 필요
IT-PDF-05,문서 삭제 연동,3,존재하지 않는 문서 삭제가 차단되는지,id=999999,2026. 8. 5.,오류 응답 (404) 반환,Y,404 확인
IT-PDF-05,문서 삭제 연동,4,삭제 결과가 목록 조회에 반영되는지,-,2026. 8. 5.,전체 건수 감소 및 목록에서 사라짐,Y,15건에서 14건으로 감소 확인
IT-PDF-06,OCR 엔진 비교,1,세 엔진 결과가 모두 반환되는지,글자가 많은 이미지,2026. 8. 5.,paddle · tesseract · easyocr 각각 텍스트·글자 수·소요 시간 반환,Y,Paddle 15541ms 239자 · Tesseract 931ms 283자 · EasyOCR 15496ms 253자
IT-PDF-06,OCR 엔진 비교,2,정답 데이터를 제공하면 실제 정확도가 계산되는지,이미지 + LabelMe JSON,2026. 8. 5.,ground_truth_accuracy 값이 산출됨,,미검증 - 정답 데이터 미확보 (담당 박세현)
IT-PDF-06,OCR 엔진 비교,3,정답 데이터가 없으면 대용 지표를 쓰는지,이미지만,2026. 8. 5.,avg_confidence 를 정확도로 표시하고 화면에 그 사실을 안내,Y,화면 상단 안내 문구와 confidence 표시 확인
IT-PDF-06,OCR 엔진 비교,4,문서 파일도 비교 가능한지,PDF 1건,2026. 8. 5.,첫 페이지를 이미지로 변환해 비교 결과 반환,Y,표준약관 PDF로 3엔진 비교 결과 반환 확인
IT-PDF-06,OCR 엔진 비교,5,허용되지 않는 형식이 차단되는지,확장자만 png 인 텍스트 파일,2026. 8. 5.,오류 응답 반환,,미검증
IT-PDF-06,OCR 엔진 비교,6,EasyOCR 호출 후 메모리가 회수되는지,EasyOCR 포함 비교 1회 실행,2026. 8. 5.,호출 종료 후 컨테이너 메모리가 호출 전 수준으로 복귀,,미검증 - subprocess 격리 반영 후 재측정 필요 (담당 박세현)
IT-PDF-07,오류 응답 일관성,1,오류 응답 형식이 통일되어 있는지,잘못된 요청,2026. 8. 5.,code · message · request_id 를 포함한 동일 형식,Y,"{code:DOCUMENT_NOT_FOUND, message, request_id} 형식 확인"
IT-PDF-07,오류 응답 일관성,2,오류 종류별 상태 코드가 맞는지,형식·용량·페이지·미분석·미존재 위반,2026. 8. 5.,400 / 413 / 409 / 404 등 정의된 상태 코드로 응답,,404·413·422 확인 / 400·409·502·504 미확인
IT-PDF-07,오류 응답 일관성,3,화면에 안내 문구가 표시되는지,AI 분석 실패 유발,2026. 8. 5.,서버 메시지와 함께 보조 안내 문구 표시,,미검증 - AI 실패 유발 필요 (담당 박세현)
IT-PDF-07,오류 응답 일관성,4,요청 식별자로 서버 로그를 대조할 수 있는지,오류 응답의 request_id,2026. 8. 5.,서버 로그에서 동일한 식별자 확인,,미검증
IT-PDF-07,오류 응답 일관성,5,AI 제공자 오류가 정의된 코드로 응답하는지,잘못된 API 키,2026. 8. 5.,오류 응답 (502 AI_PROVIDER_ERROR) 반환,,미검증 (담당 박세현)
IT-PDF-07,오류 응답 일관성,6,AI 응답 지연이 정의된 코드로 응답하는지,타임아웃 1초 설정,2026. 8. 5.,오류 응답 (504 AI_TIMEOUT) 반환,,미검증 (담당 박세현)
IT-PDF-08,실행 환경 · 설정,1,컨테이너가 모두 기동되는지,docker compose up -d,2026. 8. 5.,db · api · frontend 3개 컨테이너 정상 상태,Y,3개 컨테이너 정상 기동
