PDF Brief AI 시스템 - WBS (작업분할구조도),,,,,,,,,,,,,,,,,,
기간: 2026-07-31(금) ~ 08-06(목)  |  발표: 08-07(금)  |  A 최재정 / B 박세현 / C 김보현(팀장),,,,,,,,★ = 마일스톤,,,,,,,,,,
확정: OCR=PaddleOCR v5 / DB=PostgreSQL(본프로젝트까지 단일) / 주말작업 가능 / 폴더 소문자 / 브랜치 feature별,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
WBS ID,대분류,중분류,작업명,담당,시작일,종료일,일수,진행률,산출물,비고,"7/31
(금)","8/1
(토)","8/2
(일)","8/3
(월)","8/4
(화)","8/5
(수)","8/6
(목)","8/7
(금)"
1,프로젝트 기획 및 개발환경 구축,,,,,,,,,,,,,,,,,
1.1,,요구사항 분석 / 기술 결정,,,,,,,,,,,,,,,,
1.1.1,,,과제 지시서 분석 및 요구사항 도출,전원,07-31,07-31,1,100%,요구사항 체크리스트,,,,,,,,,
1.1.2,,,문서 도메인 / 카테고리 값 정의,전원,07-31,08-01,2,50%,회의 결정사항,카테고리 확정은 D2,,,,,,,,
1.1.3,,,텍스트 추출 전략 수립 (레이어 우선 + OCR),김보현,07-31,07-31,1,100%,기술 검토서,,,,,,,,,
1.1.4,,,OCR 엔진 선정 ? PaddleOCR v5 확정,최재정,07-31,07-31,1,100%,Docker 동작 검증,컨테이너 실행 테스트 완료,,,,,,,,
1.1.5,,,DB 선정 ? PostgreSQL (본프로젝트까지 단일 사용),전원,07-31,07-31,1,100%,결정사항,DB 교체 없이 연속 사용,,,,,,,,
1.2,,프로젝트 계획,,,,,,,,,,,,,,,,
1.2.1,,,역할 분담 확정 (A 최재정 / B 박세현 / C 김보현),김보현,07-31,07-31,1,100%,역할표,,,,,,,,,
1.2.2,,,WBS 작성 / 갱신,김보현,07-31,08-06,7,30%,WBS,매일 진행률 갱신,,,,,,,,
1.2.3,,,Git 브랜치 전략 / 공유파일 규칙 합의,전원,07-31,07-31,1,100%,협업 규칙,feature/기능명 (기능 단위),,,,,,,,
1.2.4,,,주말 작업 가능 여부 확인 ? 가능 확정,김보현,07-31,07-31,1,100%,일정 확정,시나리오 A 적용,,,,,,,,
1.3,,설계,,,,,,,,,,,,,,,,
1.3.1,,,API 엔드포인트 6종 합의 완료,전원,07-31,07-31,1,100%,API 계약서,경로/필드명(snake_case)/status 확정,,,,,,,,
1.3.2,,,DB 모델 설계 및 ERD 작성,최재정,07-31,08-01,2,100%,ERD.png,"모델 코드 완료, ERD 도면 D2",,,,,,,,
1.3.3,,,화면 정의서 작성,김보현,07-31,08-01,2,10%,화면_정의서.pdf,,,,,,,,,
1.4,,개발환경 구축,,,,,,,,,,,,,,,,
1.4.1,,,Git / Docker 설치 (전원),전원,07-31,07-31,1,100%,설치 확인,,,,,,,,,
1.4.2,,,docker-compose 구성 (db + api + frontend),김보현,07-31,07-31,1,100%,docker-compose.yml,"healthcheck, env_file 포함",,,,,,,,
1.4.3,,,공통 인프라 core/ 구현,김보현,07-31,07-31,1,100%,config/예외/로깅/미들웨어/트랜잭션,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1.4.9,,,★ 마일스톤: 전원 compose up + /health 200,전원,07-31,07-31,1,,동작 확인,미달 시 D2 블로킹,,,,,,,,
2,업로드 / 텍스트 추출  [A · 재정],,,,,,,,,,,,,,,,,
2.1,,백엔드,,,,,,,,,,,,,,,,
2.1.1,,,upload_router.py ? POST /api/documents,최재정,08-01,08-01,1,100%,업로드 API,동기 라우터,,,,,,,,
2.1.2,,,extraction_service.py ? 업로드/추출 로직,최재정,08-01,08-02,2,100%,서비스,Repository 경유,,,,,,,,
2.1.3,,,pdf_extractor.py (PyMuPDF),최재정,08-01,08-01,2,100%,PdfExtractor,주 경로,,,,,,,,
2.1.4,,,파일 검증 (10MB / 30p / 확장자),최재정,08-02,08-03,2,100%,검증 로직,registry.get()이 확장자 검증,,,,,,,,
2.1.5,,,docx / hwpx extractor,최재정,08-02,08-03,2,100%,구현체 2종,구형 HWP 제외,,,,,,,,
2.1.6,,,requirements OCR 주석 해제 + 전원 재빌드 공지,최재정,07-31,07-31,1,100%,requirements.txt,★ 사전 공지 필수,,,,,,,,
2.1.7,,,ocr_extractor.py (PaddleOCR) + 이미지 크기 측정,최재정,07-31,07-31,1,100%,"OcrExtractor, 이미지 크기",배포 용량 확인용,,,,,,,,
