ID,CASE,순번,절차,테스트 데이터,시험일자,시험결과,Y/N,결함/이상 내용
UT-AUTH-001,"인증 토큰
관련 기능: 로그인·토큰 갱신(AUTH-002-1~4)
대상: refresh token 생성·저장",1,refresh 토큰이 매번 무작위이며 DB에는 원문이 아닌 해시만 저장되는지 검증한다.,동일 사용자 토큰 2개,2026-09-07,"예상: 두 토큰 원문이 다르고 저장 가능한 값은 해시다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_refresh_tokens.py::test_refresh_token_is_random_and_only_hash_is_persistable
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-AUTH-002,"인증 토큰
관련 기능: 회원가입 및 계정 생성(AUTH-001)
대상: 회원가입 API·User 저장",2,유효 입력은 생성하고 중복 로그인 ID·이메일 및 잘못된 입력은 차단하는 API 시험을 추가한다.,정상·중복 ID·중복 이메일·빈 값,,"예상: 정상 입력만 계정이 생성되고 오류별 계약 코드가 반환된다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-AUTH-003,"인증 토큰
관련 기능: 로그인(AUTH-002-1)
대상: 로그인 API",3,정상 비밀번호와 틀린 비밀번호의 발급·401 경계를 시험한다.,등록 계정·틀린 비밀번호,,"예상: 정상 계정만 access·refresh 토큰을 받는다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-AUTH-004,"인증 토큰
관련 기능: 토큰 갱신(AUTH-002-3)
대상: refresh 회전",4,refresh 사용 시 새 토큰을 발급하고 이전 토큰 재사용을 차단하는 시험을 추가한다.,유효 refresh·이미 사용한 refresh,,"예상: 최초 갱신만 성공하고 재사용은 401이다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-AUTH-005,"인증 토큰
관련 기능: 로그아웃(AUTH-002-4)
대상: refresh 폐기",5,로그아웃 시 revoked_at을 기록하고 같은 refresh의 재사용을 차단한다.,로그인 세션 1건,,"예상: 로그아웃 뒤 갱신이 401로 차단된다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-AUTH-006,"인증 토큰
관련 기능: 인증 미들웨어(SYS-001-1)
대상: access token 검증",6,만료·위조·누락 access token이 모두 보호 API에서 차단되는지 시험한다.,정상·만료·위조·누락 토큰,,"예상: 정상 토큰만 통과하고 나머지는 401이다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-PRJ-001,"프로젝트·초대·역할
관련 기능: 프로젝트 정보 수정(PRJ-003-1)
대상: 권한 dependency",1,VIEWER가 프로젝트 수정을 할 수 없는지 검증한다.,VIEWER 멤버,2026-09-07,"예상: PROJECT_FORBIDDEN 403이다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_permissions.py::test_viewer_cannot_edit_project
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-PRJ-002,"프로젝트·초대·역할
관련 기능: 멤버 관리·프로젝트 삭제(PRJ-003-3, PRJ-004)
대상: OWNER 권한",2,실제 OWNER만 멤버 관리와 프로젝트 삭제를 수행하는지 검증한다.,OWNER·EDITOR 계정,2026-09-07,"예상: OWNER만 관리·삭제할 수 있다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_permissions.py::test_only_actual_owner_can_manage_members_or_delete
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-PRJ-003,"프로젝트·초대·역할
관련 기능: 멤버 초대(PRJ-004-1)
대상: 초대 중복 방지",3,같은 사용자에게 PENDING 초대를 두 번 보낼 수 없는지 검증한다.,동일 프로젝트·동일 피초대자,2026-09-07,"예상: 두 번째 초대가 충돌로 차단된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_project_service.py::test_pending_invitation_cannot_be_sent_twice
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-PRJ-004,"프로젝트·초대·역할
관련 기능: 프로젝트 생성(PRJ-001-1)
대상: 프로젝트·OWNER 멤버 저장",4,프로젝트 생성과 생성자 OWNER 등록의 원자성을 시험한다.,신규 사용자·프로젝트명,,"예상: 프로젝트와 OWNER 멤버가 함께 생성된다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-PRJ-005,"프로젝트·초대·역할
관련 기능: 내 프로젝트 목록(PRJ-001-2)
대상: 프로젝트 목록 API",5,내가 멤버인 프로젝트만 반환하는 API 시험을 추가한다.,멤버 프로젝트 2건·비멤버 1건,,"예상: 멤버 프로젝트 2건만 반환된다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
